Game ID,Round,Computer Choice,Player Choice,Round Winner
956885,9,paper,scissors,Player
956885,10,paper,scissors,Player
124937,1,paper,spock,Computer
124937,2,rock,lizard,Computer
124937,3,scissors,scissors,Draw
124937,4,lizard,paper,Computer
124937,5,paper,rock,Computer
124937,6,scissors,rock,Player
124937,7,scissors,lizard,Computer
124937,8,paper,spock,Computer
124937,9,rock,lizard,Computer
124937,10,scissors,paper,Computer
819560,1,rock,paper,Player
819560,2,rock,rock,Draw
819560,3,rock,spock,Player
819560,4,rock,lizard,Computer
819560,5,spock,paper,Player
819560,6,paper,scissors,Player
819560,7,lizard,scissors,Player
819560,8,lizard,rock,Player
819560,9,rock,spock,Player
758824,1,spock,spock,Draw
493701,1,lizard,rock,Player
493701,2,spock,scissors,Computer
493701,3,scissors,lizard,Computer
493701,4,rock,rock,Draw
493701,5,rock,spock,Player
493701,6,paper,rock,Computer
493701,7,spock,rock,Computer
493701,8,spock,spock,Draw
493701,9,rock,paper,Player
493701,10,paper,scissors,Player
261772,1,paper,spock,Computer
261772,2,rock,rock,Draw
261772,3,lizard,spock,Computer
261772,4,paper,lizard,Player
261772,5,lizard,rock,Player
261772,6,lizard,scissors,Player
261772,7,paper,spock,Computer
261772,8,lizard,rock,Player
261772,9,scissors,scissors,Draw
261772,10,lizard,lizard,Draw
234568,1,scissors,rock,Player
234568,2,spock,paper,Player
234568,3,lizard,rock,Player
832164,1,rock,spock,Player
832164,2,spock,lizard,Player
832164,3,scissors,scissors,Draw
426792,1,spock,spock,Draw
801623,1,rock,paper,Player
455993,1,paper,rock,Computer
455993,2,scissors,lizard,Computer
455993,3,scissors,scissors,Draw
455993,4,rock,scissors,Computer
455993,5,rock,scissors,Computer
455993,6,rock,rock,Draw
455993,7,lizard,paper,Computer
455993,8,scissors,paper,Computer
455993,10,lizard,rock,Player
455993,9,lizard,paper,Computer
244561,1,rock,paper,Player
244561,2,paper,scissors,Player
244561,3,scissors,lizard,Computer
244561,4,paper,rock,Computer
244561,5,lizard,rock,Player
244561,6,scissors,scissors,Draw
244561,7,rock,spock,Player
244561,8,scissors,paper,Computer
244561,9,paper,scissors,Player
244561,10,paper,rock,Computer
459862,1,scissors,spock,Player
459862,2,rock,rock,Draw
459862,3,scissors,lizard,Computer
459862,4,lizard,rock,Player
459862,5,spock,spock,Draw
459862,6,spock,paper,Player
459862,7,scissors,rock,Player
459862,8,spock,scissors,Computer
459862,9,rock,spock,Player
459862,10,lizard,rock,Player
867706,1,lizard,spock,Computer
867706,2,paper,rock,Computer
867706,3,spock,lizard,Player
867706,4,lizard,scissors,Player
867706,5,rock,paper,Player
867706,6,lizard,rock,Player
867706,7,paper,scissors,Player
867706,8,lizard,spock,Computer
867706,9,scissors,rock,Player
867706,10,rock,paper,Player
419514,1,lizard,scissors,Player
